Specialty,Sub-Specialty,Areas of Expertise,Center Name (Where Physician Sees Patients),Location,Address,City,Zip Code,Physician First Name,Physician Last Name,Is the Physician Accepting New Patients (Y/N)?,Languages Spoken by the Physician
GI Surgery,Hepatobiliary Surgery,"Hepatobiliary Diseases, Liver; Pancreas; Biliary; Complex GI Surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Samer,Talik,Y,English
Urology,Urologic Oncology,"Urologic Oncology, Prostate cancer; Kidney cancer; Testicular cancer; Focal therapy; Robotic & minimally invasive surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Scott,Eggener,Y,English
Urology,Urologic Oncology,"Urologic Oncology, Prostate cancer; Kidney cancer; Testicular cancer; Focal therapy; Robotic & minimally invasive surgery",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Scott,Eggener,Y,English
Urology,Urologic Oncology,"Urologic Oncology, Testis Cancer, Prostate Cancer, Bladder Cancer, Kidney Cancer",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Parth,Modi,Y,"English, Gujarati"
Urology,Urologic Oncology,"Urologic Oncology, Prostate cancer; Kidney cancer; Robotic & minimally invasive surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Abhinav,Sidana,Y,English
Urology,Urologic Oncology,"Urologic Oncology, Prostate cancer; Kidney cancer; Robotic & minimally invasive surgery",Uchicago Medicine at Ingalls - Tinley Park,Ingalls - Tinley Park,6701 West 159th St,"Tinley Park, IL",60477,Abhinav,Sidana,Y,English
Urology,Minimally Invasive & Robotic Surgery,Robotic surgery; Kidney/Prostate/Bladder surgery; Complex minimally invasive urology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Arieh,Shalhav,Y,English
Urology,Male Reproductive Medicine & Surgery,Male infertility; Vasectomy reversal; Varicocele; Erectile dysfunction; Hypogonadism,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Mike,Hsieh,N,English
Urology,Female Pelvic Medicine & Reconstructive Surgery,Urinary Incontinence; Pelvic organ prolapse; Reconstructive urology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Christina,Karakousis,Y,English
Urology,Pediatric Urology,"Pediatric Urology, Hypospadias; Vesicoureteral reflux; Undescended testicle; Pediatric stone disease",Comer Children's Hospital - Hyde Park,Hyde Park,5721 S. Maryland Ave.,"Chicago, IL",60637,Mohamed,Mayan,Y,English
Urology,Urology (Reconstructive),Urethral stricture; Urethroplasty; Ureteral reconstruction; Complications after prostate cancer treatment,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Andrew,Hayes,Y,English
Urology,Urology (General),BPH; Stones; Hematuria; Prostate cancer screening,UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Michael,Gore,Y,English
Urology,Urology (General),BPH; Stones; Hematuria; Prostate cancer screening,UChicago Medicine at Silver Cross (Pavilion A) - New Lenox,New Lenox,"1850 Silver Cross Blvd., Pavilion A","New Lenox, IL",60451,Michael,Gore,Y,English
Urology,"Urologic Oncology, Surgery","Bladder Cancer, Penile Cancer",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Piyush,Agarwal,Y,"English, Hindi"
Urology,"Urologic Oncology, Surgery","Minimally Invasive & Robotic Urologic Surgery, Bladder Cancer, Prostate Cancer",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Gregory,Zagaja,Y,English
Urology,Urology (General),"General Urology, Male Infertility; Vasectomy; Varicocele; Erectile dysfunction; etc.",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Denise,Asafu,Y,English
Urology,Urology (General),"General Urology, Male Infertility; Vasectomy; Varicocele; Erectile dysfunction; etc.",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Denise,Asafu,Y,English
Urology,Urology (General),"General Urology, Male Infertility; Vasectomy; Varicocele; Erectile dysfunction; etc.",UChicago Medicine South Loop,South Loop,1100 S. Canal St.,"Chicago, IL",60607,Denise,Asafu,Y,English
Urology,"Urologic Oncology, Surgery","Urologic Oncology, Erectile Dysfunction, Female Incontinence, Urinary Incontinence, Ureteral Strictures, Fistula Repair",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sarah,Faris,Y,English
